title_year,genres,director_name,actor_1_name,actor_2_name,actor_3_name,num_critic_for_reviews,gross,budget,num_voted_users,content_rating,imdb_score,aspect_ratio,movie_facebook_likes,duration,genres_cut,genre_['Documentary'],genre_8,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western
2009.0,Action|Adventure|Fantasy|Sci-Fi,James Cameron,CCH Pounder,Joel David Moore,Wes Studi,723.0,760505847.0,237000000.0,886204,PG-13,7.9,1.78,33000,178.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007.0,Action|Adventure|Fantasy,Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,302.0,309404152.0,300000000.0,471220,PG-13,7.1,2.35,0,169.0,"['Action', 'Adventure', 'Fantasy']",,,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015.0,Action|Adventure|Thriller,Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,602.0,200074175.0,245000000.0,275868,PG-13,6.8,2.35,85000,148.0,"['Action', 'Adventure', 'Thriller']",,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012.0,Action|Thriller,Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,813.0,448130642.0,250000000.0,1144337,PG-13,8.5,2.35,164000,164.0,"['Action', 'Thriller']",,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,Documentary,Doug Walker,Doug Walker,Rob Walker,0,0.0,0.0,0.0,8,0,7.1,0.0,0,0.0,['Documentary'],,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012.0,Action|Adventure|Sci-Fi,Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,462.0,73058679.0,263700000.0,212204,PG-13,6.6,2.35,24000,132.0,"['Action', 'Adventure', 'Sci-Fi']",,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2007.0,Action|Adventure|Romance,Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,392.0,336530303.0,258000000.0,383056,PG-13,6.2,2.35,0,156.0,"['Action', 'Adventure', 'Romance']",,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2010.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,324.0,200807262.0,260000000.0,294810,PG,7.8,1.85,29000,100.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",,,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2015.0,Action|Adventure|Sci-Fi,Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,635.0,458991599.0,250000000.0,462669,PG-13,7.5,2.35,118000,141.0,"['Action', 'Adventure', 'Sci-Fi']",,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2009.0,Adventure|Family|Fantasy|Mystery,David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,375.0,301956980.0,250000000.0,321795,PG,7.5,2.35,10000,153.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",,,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
