title,Links,Average_score,number_of_comments,Feedback
Побег из Шоушенка,http://www.world-art.ru/cinema/cinema.php?id=4110,0,0,
Зелёная миля,http://www.world-art.ru/cinema/cinema.php?id=5130,0,0,
Форрест Гамп,http://www.world-art.ru/cinema/cinema.php?id=4271,0,0,
Леон,http://www.world-art.ru/cinema/cinema.php?id=7906,0,0,
Достучаться до небес,http://www.world-art.ru/cinema/cinema.php?id=108,0,0,
Король Лев,http://www.world-art.ru/cinema/cinema.php?id=461,0,0,
Иван Васильевич меняет профессию,http://www.world-art.ru/cinema/cinema.php?id=4277,0,0,
Шерлок Холмс и доктор Ватсон: Знакомство,http://www.world-art.ru/cinema/cinema.php?id=24333,0,0,
1+1,http://www.world-art.ru/cinema/cinema.php?id=39603,0,0,
Бойцовский клуб,http://www.world-art.ru/cinema/cinema.php?id=5397,0,0,
Операция «Ы» и другие приключения Шурика,http://www.world-art.ru/cinema/cinema.php?id=487,0,0,
Властелин колец: Возвращение Короля,http://www.world-art.ru/cinema/cinema.php?id=276,0,0,
В бой идут одни «старики»,http://www.world-art.ru/cinema/cinema.php?id=4302,0,0,
Властелин колец: Братство Кольца,http://www.world-art.ru/cinema/cinema.php?id=277,0,0,
Семь самураев,http://www.world-art.ru/cinema/cinema.php?id=4111,0,0,
Начало,http://www.world-art.ru/cinema/cinema.php?id=11633,0,0,
Властелин колец: Две крепости,http://www.world-art.ru/cinema/cinema.php?id=263,0,0,
Гладиатор,http://www.world-art.ru/cinema/cinema.php?id=6745,0,0,
Крёстный отец,http://www.world-art.ru/cinema/cinema.php?id=4109,0,0,
Бриллиантовая рука,http://www.world-art.ru/cinema/cinema.php?id=4276,0,0,
Джентльмены удачи,http://www.world-art.ru/cinema/cinema.php?id=4318,0,0,
Хатико. Самый верный друг,http://www.world-art.ru/cinema/cinema.php?id=23249,0,0,
Назад в будущее,http://www.world-art.ru/cinema/cinema.php?id=4912,0,0,
Криминальное чтиво,http://www.world-art.ru/cinema/cinema.php?id=4897,0,0,
Остров сокровищ,http://www.world-art.ru/cinema/cinema.php?id=15252,0,0,
Ип Ман,http://www.world-art.ru/cinema/cinema.php?id=25633,0,0,
Песнь моря,http://www.world-art.ru/cinema/cinema.php?id=54576,0,0,
Терминатор 2: Судный день,http://www.world-art.ru/cinema/cinema.php?id=5082,0,0,
Большой куш,http://www.world-art.ru/cinema/cinema.php?id=5402,0,0,
Как приручить дракона,http://www.world-art.ru/cinema/cinema.php?id=25065,0,0,
Матрица,http://www.world-art.ru/cinema/cinema.php?id=4607,0,0,
Собачье сердце,http://www.world-art.ru/cinema/cinema.php?id=11954,0,0,
Легенда о пианисте,http://www.world-art.ru/cinema/cinema.php?id=11371,0,0,
Список Шиндлера,http://www.world-art.ru/cinema/cinema.php?id=4112,0,0,
Храброе сердце,http://www.world-art.ru/cinema/cinema.php?id=8057,0,0,
В джазе только девушки,http://www.world-art.ru/cinema/cinema.php?id=10811,0,0,
ВАЛЛ-И,http://www.world-art.ru/cinema/cinema.php?id=25220,0,0,
Игры разума,http://www.world-art.ru/cinema/cinema.php?id=4105,0,0,
Герой,http://www.world-art.ru/cinema/cinema.php?id=68819,0,0,
Пираты Карибского моря,http://www.world-art.ru/cinema/cinema.php?id=302,0,0,
"Карты, деньги & два ствола",http://www.world-art.ru/cinema/cinema.php?id=8264,0,0,
Укрощение строптивого,http://www.world-art.ru/cinema/cinema.php?id=13700,0,0,
Жизнь прекрасна,http://www.world-art.ru/cinema/cinema.php?id=36763,0,0,
Пролетая над гнездом кукушки,http://www.world-art.ru/cinema/cinema.php?id=4898,0,0,
А зори здесь тихие...,http://www.world-art.ru/cinema/cinema.php?id=11278,0,0,
Невидимая сторона,http://www.world-art.ru/cinema/cinema.php?id=25944,0,0,
Подводная лодка,http://www.world-art.ru/cinema/cinema.php?id=13310,0,0,
Запах женщины,http://www.world-art.ru/cinema/cinema.php?id=6094,0,0,
Ушедшие,http://www.world-art.ru/cinema/cinema.php?id=21888,0,0,
Август Раш,http://www.world-art.ru/cinema/cinema.php?id=19719,0,0,
Клаус,http://www.world-art.ru/cinema/cinema.php?id=77239,0,0,
Человек дождя,http://www.world-art.ru/cinema/cinema.php?id=5111,0,0,
